bezID,bezNAME,GESIx_2013,GESIx_2022,ESIx_2013,ESIx_2022,DI_2013,DI_2022,DII_2013,DII_2022,DIII_2013,DIII_2022
01,Mitte,-1.5088198,-1.0319133,-1.3085771,-.93678898,-1.2170444,-.8986429,-1.3181792,-.9657079,-1.7734032,-1.1774333
02,Friedrichshain-Kreuzberg,-.91335678,-.40823063,-.88332433,-.19761552,-.55511898,-.16301785,-1.1562245,-.23026672,-.89404488,-.81685513
03,Pankow,.87268221,1.1949542,1.2019987,1.3821182,1.197265,1.2439773,1.1314749,1.5066454,.15316981,.76098776
04,Charlottenburg-Wilmersdorf,.86882114,.94790566,.74117738,.83007973,.96523058,.93731552,.4707188,.7146678,1.0460889,1.1423326
05,Spandau,-.71452999,-1.1689726,-.71971881,-1.0973353,-.90177584,-1.0551138,-.49259999,-1.1287484,-.64433748,-1.2605367
06,Steglitz-Zehlendorf,1.6453645,1.5523623,1.553916,1.4703928,1.685447,1.6501418,1.3250939,1.2761607,1.6856836,1.6455822
07,Tempelhof-Schöneberg,.40271965,.18492582,.16336592,.06754297,.31599423,.094738036,.0005092108,.039682612,.83826703,.41430613
08,Neukölln,-1.4153708,-1.6312941,-1.4814022,-1.7819841,-1.1782643,-1.7242346,-1.6917889,-1.8221813,-1.1652914,-1.2505708
09,Treptow-Köpenick,.96981478,.86566222,1.0667669,.82082963,.89413083,.74539196,1.1726123,.88818234,.69718117,.91711223
10,Marzahn-Hellersdorf,-.18839252,-.01210769,-.43832806,-.092937075,-.92967212,-.24761039,.080459893,.062651657,.31626168,.15352137
11,Lichtenberg,.072299019,-.023899317,.16111486,.039579716,-.11033992,-.031857442,.42248219,.11062703,-.10865313,-.15106227
12,Reinickendorf,-.091231301,-.46939251,-.056989349,-.50388205,-.1658522,-.55108762,.055441637,-.45171329,-.15092219,-.37738416
