plrID,plrNAME,GESIx_2013,GESIx_2022,ESIx_2013,ESIx_2022,DI_2013,DI_2022,DII_2013,DII_2022,DIII_2013,DIII_2022
01011101,Stülerstr.,.70700312,.87645614,.36569428,.37217203,.61668533,.75277644,.06563177,-.055861462,1.1962581,1.6375602
01011102,Großer Tiergarten,,,,,,,,,,
01011103,Lützowstr.,-1.4910268,-1.5584612,-.96274322,-.96761262,-.16532983,-.44076282,-1.6309689,-1.3711512,-2.2273395,-2.4057195
01011104,Körnerstr.,-1.7241974,-.7871176,-2.1263702,-1.2641577,-1.0487362,-.67429048,-2.9186726,-1.6929224,-.51757973,.35816917
01011105,Nördlicher Landwehrkanal,,1.5780597,,1.2484518,,1.1419803,,1.1958225,,1.8335866
01011201,Wilhelmstr.,1.1661986,.6284253,.65399492,.52726662,.48914447,.38002425,.73108768,.60731483,1.9112432,.6789273
01011202,Unter den Linden Nord,,,,,,,,,,
01011203,Unter den Linden Süd,,1.4339732,,.99200666,,.91200787,,.94558549,,1.9597147
01011204,Leipziger Str.,.63956213,.69982684,.49667439,.50454247,.76697713,.6156016,.15972435,.32918519,.74023479,.8981362
01011301,Charitéviertel,.52775019,1.1962057,1.0254173,1.1880349,1.1606737,1.2139227,.75256306,1.0107456,-.64021522,.87753373
01011302,Oranienburger Str.,.66643935,.81047368,.78542751,.71414161,.88084191,.71271896,.58461887,.62455505,.23760417,.78481025
01011303,Alexanderplatzviertel,.33495122,.6352244,.39155316,.40251881,.41013521,.44801876,.32042974,.30572242,.12807702,.93605918
01011304,Karl-Marx-Allee,-.21626265,.20470373,.18931739,.086341172,-.11666297,-.30759922,.46989378,.46927837,-.96457285,.43500364
01011305,Heine-Viertel West,.53550327,1.0347698,.56464714,.78010976,.34775802,.55044949,.70576793,.91035396,.34785956,1.2991927
01011306,Heine-Viertel Ost,-.060205199,.77608192,.51112521,.85482836,.25221863,.68694067,.70144534,.91377789,-1.192366,.41472337
01011401,Invalidenstr.,.69663608,.96393347,.84941405,.97115862,.90604693,.9690541,.6788007,.8495,.19347288,.68095219
01011402,Arkonaplatz,.75002384,1.224784,.89060307,1.0236986,1.046643,1.050929,.61505568,.86600941,.25027552,1.297956
01022101,Huttenkiez,-.93461198,-1.6017652,-1.0981411,-1.732406,-1.0562875,-1.5442154,-.99263829,-1.6998211,-.3527064,-.90522408
01022102,Beusselkiez,-1.8123937,-2.280973,-1.6361061,-1.7371641,-1.4559255,-1.2969394,-1.5967425,-1.9560072,-1.6989292,-2.8204544
01022103,Westhafen,,,,,,,,,,
01022104,Emdener Str.,-.8745147,-.6154812,-1.0707971,-.72470784,-.71960419,-.53127801,-1.2783028,-.82578188,-.26415256,-.23833743
01022105,Zwinglistr.,-1.1871626,-.72620142,-1.5706129,-1.2811605,-1.2587065,-1.0730081,-1.6717634,-1.3260435,-.1077268,.60425115
01022106,Elberfelder Str.,.26895443,.49668151,.19771366,.41951436,.13433382,.601147,.23456286,.18441942,.34684002,.49914268
01022201,Stephankiez,-.97576833,-.6584484,-.91197729,-.8065353,-.56056678,-.4519076,-1.1410122,-1.0583793,-.86946487,-.20592257
